EASI;oSCORAD;IGA
0;0;0.23
1;13.5;1.33
2;16;1.48
3;18;1.67
4;19.5;1.87
5;22;2.04
6;23.5;2.17
7;25;2.26
8;26.5;2.33
9;27.5;2.4
10;29;2.45
11;30;2.51
12;31;2.56
13;32;2.62
14;33;2.67
15;34;2.72
16;34.5;2.78
17;35.5;2.83
18;36.5;2.88
19;37;2.93
20;38;2.98
21;38.5;3.02
22;39;3.07
23;40;3.11
24;40.5;3.16
25;41.5;3.2
26;42;3.24
27;42.5;3.28
28;43;3.32
29;43.5;3.36
30;44.5;3.4
31;45;3.44
32;46;3.47
33;46.5;3.51
34;47;3.55
35;47.5;3.58
36;48;3.62
37;49;3.65
38;50;3.68
39;50.5;3.72
40;51;3.75
41;51.5;3.78
42;52.5;3.81
43;53.5;3.85
44;54;3.88
45;54.5;3.92
46;55;3.96
47;56;4.01
48;57;4.06
49;57.5;4.12
50;58.5;4.19
51;59;4.26
52;60;4.33
53;60.5;4.41
54;61;4.49
55;62;4.57
56;62.5;4.64
57;63.5;4.7
58;64.5;4.76
59;65;4.8
60;66;4.84
61;66.5;4.87
62;68;4.9
63;69.5;4.92
64;71;4.94
65;72.5;4.95
66;74;4.96
67;75.5;4.97
68;77;4.97
69;78.5;4.98
70;80;4.98
71;81.5;4.99
72;83;4.99
