EASI;oSCORAD
0;0
1;13.5
2;16
3;18
4;19.5
5;22
6;23.5
7;25
8;26.5
9;27.5
10;29
11;30
12;31
13;32
14;33
15;34
16;34.5
17;35.5
18;36.5
19;37
20;38
21;38.5
22;39
23;40
24;40.5
25;41.5
26;42
27;42.5
28;43
29;43.5
30;44.5
31;45
32;46
33;46.5
34;47
35;47.5
36;48
37;49
38;50
39;50.5
40;51
41;51.5
42;52.5
43;53.5
44;54
45;54.5
46;55
47;56
48;57
49;57.5
50;58.5
51;59
52;60
53;60.5
54;61
55;62
56;62.5
57;63.5
58;64.5
59;65
60;66
61;66.5
62;68
63;69.5
64;71
65;72.5
66;74
67;75.5
68;77
69;78.5
70;80
71;81.5
72;83
